epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,219.017,1.58379,1.19471,1.09581,0.85046,0.80893,0.89384,0.53323,1.30063,0.81921,1.01823,0.0099875,0.00332917,0.0099875,0.00332917,0.0099875,0.00332917,0.0099875,0.00332917
2,402.703,1.38063,0.74985,1.00877,0.87186,0.81039,0.90707,0.55397,1.25952,0.72081,1.01331,0.0197896,0.00659654,0.0197896,0.00659654,0.0197896,0.00659654,0.0197896,0.00659654
3,574.033,1.3723,0.71202,1.01568,0.85551,0.83187,0.90661,0.5618,1.25591,0.71123,1.0218,0.0293937,0.00979792,0.0293937,0.00979792,0.0293937,0.00979792,0.0293937,0.00979792
4,736.9,1.33182,0.66989,1.00523,0.86986,0.83715,0.91854,0.58082,1.21288,0.6464,1.01157,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,917.846,1.2872,0.63358,0.99164,0.8749,0.84418,0.92278,0.58427,1.22795,0.61966,1.01185,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1099.41,1.25533,0.61045,0.98058,0.87221,0.85154,0.92496,0.58651,1.20584,0.6399,1.00378,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1278.7,1.23451,0.59303,0.97367,0.87226,0.86233,0.92779,0.58914,1.21019,0.63284,1.00768,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1455.03,1.21868,0.58208,0.97018,0.88736,0.85882,0.93432,0.59337,1.20511,0.59308,1.00643,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1632.79,1.20152,0.57066,0.96405,0.88328,0.85831,0.93432,0.59989,1.19279,0.58806,0.99893,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1811.14,1.19312,0.56308,0.95944,0.87203,0.86027,0.93019,0.59793,1.19776,0.59134,0.99793,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1989.78,1.17868,0.55444,0.95718,0.89526,0.86633,0.94199,0.61121,1.17001,0.55668,0.99287,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2167.7,1.17507,0.54902,0.95466,0.88126,0.86322,0.9364,0.60325,1.19549,0.57405,0.99737,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2345.42,1.1674,0.54508,0.95268,0.88073,0.85865,0.93243,0.60334,1.17956,0.58027,0.99386,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2522.62,1.15634,0.53807,0.95041,0.88171,0.86153,0.93046,0.60086,1.18784,0.58171,1.00514,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2700.32,1.15107,0.53358,0.94645,0.88577,0.86979,0.94219,0.61344,1.16547,0.55709,0.9896,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
